News ID,Website,News Title,Link,Date Published
1,NBC,Russia’s evacuation of civilians in southern Ukraine betrays Kremlin concern ,https://www.nbcnews.com/news/world/russia-ukraine-war-evacuation-south-kherson-kremlin-concern-putin-rcna52227,10/15/2022
2,NBC,"Don't back Putin into a corner, Belarusian leader warns as nuclear fears grow",https://www.nbcnews.com/news/world/putin-ukraine-nuclear-warning-belarus-leader-lukashenko-rcna52244,10/15/2022
3,NBC,A retired Marine went missing in Ukraine. His family says he’s severely injured in a Russian hospital.,https://www.nbcnews.com/news/us-news/missing-marine-ukraine-critical-condition-russian-held-hospital-rcna52334,10/15/2022
4,NBC,Boy pulled from the rubble of his home after 7 hours becomes Putin's latest victim,https://www.nbcnews.com/news/world/russia-ukraine-war-mykolaiv-strike-boy-pulled-rubble-putin-revenge-rcna52154,10/15/2022
5,CNN,Reclaim the runway: $8 billion project to transform shuttered Berlin airport into an eco city ,https://edition.cnn.com/travel/article/berlin-txl-tegel-airport-redevelopment-spc-intl/index.html,10/15/2022
6,CNN,This company is making whirlpools to clean microplastics from water,https://edition.cnn.com/2022/10/03/europe/wasser-microplastics-germany-spc-intl-scn/index.html,10/15/2022
7,CNN,World's tallest building could be surrounded by a giant ring,https://edition.cnn.com/style/article/dubai-downtown-circle-znera-space-design-spc-intl/index.html,10/15/2022
8,CNN,The man-made islands emerging from the sea,https://edition.cnn.com/travel/article/dubai-heart-of-europe-nears-completion/index.html,10/15/2022
9,CNN,This Martian city is being built in the desert outside Dubai,https://edition.cnn.com/style/article/mars-science-city-design-spc-scn/index.html,10/15/2022
10,CNN,How Naomi Campbell surprised this Nigerian designer on the runway,https://edition.cnn.com/style/article/naomi-campbell-ian-audifferen-nigeria-arise-fashion-hnk-spc-intl/index.html,10/15/2022
11,CNN,South African artist blurs dreams and reality ,https://edition.cnn.com/style/article/xopher-wallace-anonymous-artist-south-africa-spc-intl/index.html,10/15/2022
12,CNN,"Sharks and seals, photographed up close",https://edition.cnn.com/travel/gallery/steve-benjamin-underwater-photography-cape-town-spc-intl/index.html,10/15/2022
13,CNN,Saints RB facing $10M lawsuit for alleged assault and battery,https://bleacherreport.com/articles/10052407-saints-alvin-kamara-facing-10m-civil-lawsuit-over-alleged-assault-and-battery?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial,10/15/2022
14,CNN,"Boston marathon winner suspended for banned substance, could lose title",https://bleacherreport.com/articles/10052384-diana-kipyokei-could-lose-2021-boston-marathon-title-over-use-of-banned-substance?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial,10/15/2022
15,CNN,Tom Brady fined $11K for kicking player,https://bleacherreport.com/articles/10052353-tom-brady-fined-over-11k-for-kicking-at-grady-jarrett-on-roughing-the-passer-penalty?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial,10/15/2022
16,CNN,Jerry Jones responds to Dan Snyder report,https://bleacherreport.com/articles/10052386-cowboys-jerry-jones-says-report-about-daniel-snyder-having-dirt-was-news-to-me?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial,10/15/2022
17,CNN,Deshaun Watson facing new civil lawsuit,https://bleacherreport.com/articles/10052338-browns-deshaun-watson-facing-new-lawsuit-allegedly-pressured-massage-therapist?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial,10/15/2022
18,CNN,Bad QB play continues on TNF,https://bleacherreport.com/articles/10052344-bears-commanders-game-a-prime-example-of-bad-qb-play-throughout-the-nfl?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial,10/15/2022
19,CNN,0% intro APR until 2024 is 100% insane,https://www.fool.com/the-ascent/credit-cards/landing/wells-fargo-reflect-review/?utm_site=theascent&utm_campaign=ta-cc-co-cnn-welref2-ron-5-hp-sfpb&utm_medium=cpc&utm_source=cnn,10/15/2022
20,CNN,It's official: now avoid credit card interest into 2024,https://www.fool.com/the-ascent/credit-cards/landing/citi-simplicity-review/?utm_site=theascent&utm_campaign=ta-cc-co-cnn-citisimp2-ron-5-hp-sfpb&utm_medium=cpc&utm_source=cnn,10/15/2022
21,CNN,Experts: this is the best cash back card of 2022,https://www.fool.com/the-ascent/credit-cards/landing/wells-fargo-active-cash-card-review/?utm_site=theascent&utm_campaign=ta-cc-co-cnn-welac2-ron-5-hp-sfpb&utm_medium=cpc&utm_source=cnn,10/15/2022
22,CNN,Home Prices are Falling - Don't Wait to Tap Into Your Home's Equity,https://www.lendingtree.com/?splitterid=home-equity&cproduct=he&cchannel=content&csource=cnn&cmethod=heform&ccreative=fallingdontwait_flagcoins&placement_name=sectionfronts&ad_headline=fallingdontwait&ad_image_name=flagcoins&ctype=sectionfronts&bdst=revshare&mtaid=AC53E&esourceid=6348616,10/15/2022
23,CNN,Home Prices Drop Most Since 2011 - Get Cash Out of Your Home ASAP,https://www.lendingtree.com/?splitterid=home-equity&cproduct=he&cchannel=content&csource=cnn&cmethod=heform&ccreative=dropgetcash_flagcoins&placement_name=sectionfronts&ad_headline=dropgetcash&ad_image_name=flagcoins&ctype=sectionfronts&bdst=revshare&mtaid=AC53E&esourceid=6348616,10/15/2022
24,CNN,Experts Urge Americans to Refi Before the Next Fed Meeting,https://www.lendingtree.com/?splitterid=content-mortgage&loan-type=refinance&cchannel=content&cname=cnn&cmethod=refiform&cproduct=refi&ccreative=expertsurgerefifed_flagcoins&placement_name=sectionfronts&ad_headline=expertsurgerefifed&ad_image_name=flagcoins&ctype=sectionfronts&bdst=revshare&mtaid=060C8&esourceid=6338766,10/15/2022
25,CNN,Dikembe Mutombo undergoing treatment for brain tumor,https://bleacherreport.com/articles/10052460-nba-legend-dikembe-mutombo-undergoing-treatment-for-brain-tumor?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial,10-16-22
26,CNN,Robert Kraft marries Dana Blumberg in star-studded ceremony,https://bleacherreport.com/articles/10052447-patriots-robert-kraft-marries-dana-blumberg-in-surprise-ceremony-tom-brady-attends?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial,10-16-22
27,CNN,Jordan Poole signing $140M extension with Warriors,https://bleacherreport.com/articles/10034651-jordan-poole-warriors-finalizing-4-year-140m-contract-extension?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial,10-16-22
28,CNN,Kurt Busch won't race full-time in 2023,https://bleacherreport.com/articles/10052453-nascars-kurt-busch-wont-race-full-time-in-2023-after-suffering-concussion?utm_source=cnn.com&utm_medium=referral&utm_campaign=editorial,10-16-22
